Student #	GPA	Choice Ranking
400277075	6.0	[10, 15, 1, 5, 24, 10, 6, 4, 27, 7]
400277076	6.5	[18, 0, 0, 19, 15, 30, 9, 3, 28, 16]
400277077	9.9	[6, 10, 4, 17, 17, 12, 26, 8, 23, 3]
400277078	4.9	[29, 6, 25, 4, 14, 2, 8, 16, 16, 7]
400277079	4.2	[8, 3, 19, 3, 15, 16, 26, 21, 11, 3]
400277080	6.9	[2, 2, 25, 19, 7, 28, 13, 8, 20, 12]
400277081	6.5	[19, 8, 10, 12, 16, 24, 21, 20, 23, 15]
400277082	1.7	[3, 25, 13, 5, 1, 0, 13, 15, 1, 3]
400277083	10.9	[9, 6, 5, 0, 28, 17, 22, 17, 7, 23]
400277084	7.4	[8, 11, 15, 28, 0, 6, 3, 26, 14, 17]
400277085	6.5	[16, 21, 27, 11, 9, 19, 15, 5, 19, 8]
400277086	4.1	[28, 3, 28, 20, 22, 30, 2, 17, 13, 1]
400277087	5.7	[19, 11, 14, 0, 1, 7, 6, 3, 10, 11]
400277088	10.2	[6, 8, 15, 15, 21, 15, 2, 8, 27, 28]
400277089	6.2	[16, 22, 4, 25, 28, 7, 22, 6, 14, 2]
400277090	4.6	[7, 7, 8, 1, 12, 0, 18, 21, 2, 27]
400277091	4.0	[2, 24, 15, 29, 8, 16, 9, 6, 0, 10]
400277092	4.3	[22, 6, 10, 23, 11, 19, 9, 8, 15, 25]
400277093	5.8	[3, 20, 24, 7, 4, 12, 23, 25, 0, 20]
400277094	9.7	[22, 18, 11, 7, 14, 20, 3, 8, 12, 23]
400277095	8.8	[21, 21, 23, 30, 23, 5, 4, 8, 9, 15]
400277096	12.0	[27, 23, 16, 26, 24, 13, 6, 14, 14, 18]
400277097	7.4	[29, 16, 2, 19, 15, 9, 16, 6, 25, 8]
400277098	10.2	[16, 21, 20, 18, 6, 22, 7, 1, 23, 22]
400277099	7.6	[3, 9, 2, 21, 29, 7, 20, 15, 23, 28]
400277100	5.5	[0, 11, 21, 25, 2, 16, 25, 2, 20, 2]
400277101	4.4	[2, 3, 6, 26, 25, 0, 22, 26, 27, 9]
400277102	5.7	[21, 7, 7, 18, 21, 1, 6, 12, 27, 12]
400277103	9.0	[3, 26, 5, 27, 3, 0, 11, 7, 26, 5]
400277104	6.1	[4, 20, 0, 13, 24, 8, 30, 9, 9, 19]
400277105	3.1	[13, 29, 1, 12, 9, 24, 20, 2, 28, 30]
400277106	5.6	[24, 12, 25, 29, 6, 23, 26, 17, 24, 29]
400277107	8.6	[9, 26, 20, 2, 14, 27, 16, 12, 9, 15]
400277108	7.1	[11, 26, 9, 0, 2, 30, 1, 24, 13, 24]
400277109	5.4	[7, 20, 19, 1, 17, 13, 22, 8, 2, 2]
400277110	6.1	[26, 4, 0, 22, 10, 7, 0, 4, 20, 27]
400277111	8.7	[3, 27, 25, 11, 17, 17, 23, 4, 12, 3]
400277112	2.7	[25, 30, 0, 4, 16, 1, 5, 0, 25, 17]
400277113	4.5	[22, 3, 2, 17, 30, 5, 21, 25, 26, 29]
400277114	9.6	[9, 19, 22, 19, 26, 19, 28, 21, 1, 7]
400277115	7.3	[13, 22, 2, 8, 23, 3, 17, 16, 19, 30]
400277116	5.1	[27, 16, 9, 10, 26, 6, 11, 25, 20, 10]
400277117	5.7	[23, 30, 13, 28, 24, 5, 3, 29, 23, 17]
400277118	9.0	[25, 29, 13, 6, 24, 0, 20, 12, 22, 28]
400277119	8.0	[3, 2, 25, 27, 1, 9, 16, 12, 15, 3]
400277120	10.1	[17, 0, 7, 4, 30, 6, 30, 19, 21, 11]
400277121	8.8	[1, 9, 27, 7, 22, 20, 0, 9, 14, 23]
400277122	8.1	[25, 23, 28, 21, 27, 2, 23, 24, 9, 23]
400277123	9.1	[25, 24, 4, 26, 14, 3, 23, 10, 6, 17]
400277124	5.8	[1, 25, 16, 4, 26, 10, 28, 18, 5, 3]
400277125	8.8	[23, 1, 19, 2, 16, 20, 21, 10, 0, 14]
400277126	6.6	[9, 4, 29, 7, 16, 23, 7, 25, 15, 10]
400277127	6.2	[14, 4, 0, 26, 16, 7, 9, 23, 20, 7]
400277128	7.7	[4, 4, 17, 2, 27, 1, 16, 12, 10, 21]
400277129	5.2	[0, 0, 16, 22, 22, 11, 10, 6, 0, 3]
400277130	6.8	[25, 17, 2, 29, 28, 28, 2, 28, 23, 7]
400277131	9.9	[26, 6, 5, 26, 22, 23, 3, 4, 21, 24]
400277132	4.4	[10, 30, 14, 9, 30, 28, 0, 19, 13, 21]
400277133	9.5	[26, 26, 8, 20, 7, 7, 13, 7, 24, 12]
400277134	6.4	[18, 30, 15, 20, 27, 16, 20, 0, 25, 4]
400277135	9.6	[30, 10, 17, 23, 28, 1, 13, 13, 0, 29]
400277136	6.2	[8, 8, 18, 1, 10, 15, 18, 21, 19, 23]
400277137	5.6	[30, 1, 3, 8, 24, 13, 12, 7, 14, 24]
400277138	11.8	[14, 4, 14, 0, 9, 12, 17, 4, 22, 8]
400277139	4.5	[27, 27, 16, 30, 19, 19, 8, 11, 22, 19]
400277140	7.6	[0, 7, 19, 7, 14, 22, 1, 21, 5, 24]
400277141	5.4	[29, 2, 7, 12, 12, 9, 7, 2, 2, 12]
400277142	8.3	[13, 23, 1, 12, 13, 14, 2, 17, 13, 20]
400277143	8.4	[15, 22, 16, 8, 11, 8, 26, 8, 22, 8]
400277144	9.5	[1, 25, 15, 27, 15, 18, 5, 7, 15, 21]
400277145	6.7	[0, 23, 4, 12, 3, 0, 17, 8, 20, 28]
400277146	6.8	[28, 5, 26, 11, 12, 4, 15, 19, 6, 4]
400277147	5.9	[15, 13, 11, 21, 4, 7, 6, 18, 10, 14]
400277148	7.5	[19, 30, 13, 4, 10, 1, 22, 28, 28, 21]
400277149	3.5	[23, 22, 26, 28, 29, 12, 11, 28, 26, 21]
400277150	6.9	[15, 25, 5, 3, 24, 18, 19, 7, 16, 18]
400277151	3.5	[19, 2, 14, 13, 3, 14, 11, 27, 27, 20]
400277152	8.3	[27, 23, 12, 3, 5, 6, 2, 4, 19, 17]
400277153	9.5	[3, 0, 17, 2, 21, 20, 13, 14, 11, 30]
400277154	8.0	[8, 1, 28, 21, 12, 10, 15, 24, 17, 7]
400277155	5.6	[15, 12, 6, 10, 12, 5, 24, 21, 21, 18]
400277156	10.6	[19, 20, 16, 0, 2, 28, 5, 30, 23, 2]
400277157	5.6	[11, 18, 11, 21, 6, 14, 4, 23, 18, 2]
400277158	6.8	[1, 26, 25, 26, 5, 1, 0, 2, 14, 7]
400277159	7.6	[11, 3, 9, 23, 30, 8, 23, 22, 27, 15]
400277160	9.5	[21, 28, 9, 8, 15, 17, 19, 4, 26, 14]
400277161	4.9	[6, 13, 29, 20, 5, 5, 11, 9, 10, 0]
400277162	6.6	[27, 29, 28, 22, 1, 30, 0, 12, 2, 1]
400277163	5.1	[6, 7, 18, 9, 17, 5, 9, 30, 20, 29]
400277164	3.1	[30, 6, 21, 26, 8, 29, 3, 4, 26, 8]
400277165	10.2	[0, 5, 22, 10, 5, 27, 17, 13, 26, 28]
400277166	6.6	[17, 25, 25, 22, 4, 10, 4, 18, 13, 14]
400277167	6.4	[20, 21, 17, 8, 2, 16, 28, 5, 6, 1]
400277168	2.7	[29, 30, 11, 25, 12, 3, 9, 19, 0, 26]
400277169	8.7	[13, 13, 16, 6, 10, 28, 14, 25, 22, 22]
400277170	9.0	[7, 28, 11, 17, 30, 26, 2, 18, 21, 6]
400277171	8.2	[11, 20, 18, 4, 12, 7, 11, 7, 14, 16]
400277172	5.6	[29, 25, 6, 23, 7, 18, 23, 14, 3, 15]
400277173	4.4	[18, 28, 4, 16, 16, 14, 29, 29, 2, 6]
400277174	7.7	[10, 5, 14, 10, 30, 9, 23, 21, 30, 2]
400277175	8.3	[2, 22, 11, 21, 11, 12, 26, 25, 2, 13]
400277176	6.0	[1, 20, 22, 15, 13, 21, 5, 23, 18, 10]
400277177	8.9	[2, 18, 13, 11, 22, 29, 22, 24, 23, 19]
400277178	6.1	[12, 4, 21, 24, 18, 18, 24, 7, 15, 26]
400277179	7.7	[15, 14, 18, 18, 23, 23, 6, 2, 11, 9]
400277180	6.3	[16, 14, 22, 29, 17, 15, 11, 26, 28, 20]
400277181	6.8	[10, 8, 24, 10, 29, 27, 14, 15, 29, 29]
400277182	8.5	[4, 0, 11, 22, 16, 10, 30, 3, 20, 22]
400277183	5.8	[12, 17, 24, 21, 11, 19, 2, 14, 25, 1]
400277184	7.7	[0, 25, 4, 5, 6, 22, 24, 22, 4, 0]
400277185	6.3	[30, 9, 19, 25, 8, 27, 29, 16, 10, 0]
400277186	5.9	[21, 28, 21, 14, 21, 2, 30, 26, 14, 16]
400277187	7.4	[23, 30, 27, 28, 12, 21, 18, 24, 4, 15]
400277188	12.0	[5, 22, 24, 4, 26, 5, 25, 7, 15, 26]
400277189	5.6	[14, 28, 9, 5, 25, 16, 1, 17, 6, 30]
400277190	7.6	[26, 4, 26, 17, 23, 12, 2, 7, 23, 4]
400277191	5.1	[7, 0, 17, 24, 22, 11, 13, 5, 27, 14]
400277192	6.8	[2, 16, 16, 8, 6, 10, 18, 22, 1, 22]
400277193	6.8	[11, 11, 14, 3, 0, 14, 11, 15, 23, 13]
400277194	6.6	[14, 25, 9, 14, 23, 9, 29, 23, 30, 9]
400277195	5.7	[12, 27, 4, 22, 15, 18, 3, 16, 27, 18]
400277196	6.0	[9, 30, 10, 14, 9, 15, 12, 19, 22, 7]
400277197	4.6	[20, 22, 13, 2, 29, 23, 17, 2, 9, 8]
400277198	4.6	[1, 7, 18, 11, 13, 10, 30, 13, 22, 5]
400277199	8.8	[21, 8, 27, 18, 24, 19, 12, 20, 4, 19]
400277200	5.6	[12, 10, 20, 21, 6, 13, 22, 4, 5, 23]
400277201	8.1	[4, 28, 1, 30, 21, 5, 3, 0, 3, 11]
400277202	6.9	[14, 28, 9, 10, 3, 17, 0, 10, 17, 6]
400277203	4.8	[18, 21, 7, 12, 10, 28, 8, 22, 13, 18]
400277204	6.2	[5, 20, 18, 18, 9, 22, 4, 9, 26, 7]
400277205	7.8	[27, 0, 26, 22, 1, 28, 26, 20, 26, 3]
400277206	7.1	[20, 0, 11, 12, 17, 24, 29, 2, 30, 2]
400277207	6.4	[1, 13, 20, 0, 12, 8, 1, 3, 18, 2]
400277208	8.9	[18, 7, 21, 30, 4, 26, 14, 22, 11, 13]
400277209	3.2	[28, 14, 9, 10, 5, 28, 0, 18, 8, 21]
400277210	9.1	[19, 24, 18, 21, 1, 21, 29, 2, 13, 27]
400277211	8.8	[25, 14, 25, 1, 27, 29, 20, 24, 6, 28]
400277212	8.0	[8, 5, 13, 28, 3, 17, 22, 30, 25, 23]
400277213	8.1	[28, 19, 13, 18, 14, 22, 3, 16, 11, 30]
400277214	5.6	[15, 7, 22, 29, 7, 13, 6, 19, 14, 11]
400277215	10.9	[5, 8, 16, 2, 9, 1, 18, 16, 5, 25]
400277216	7.2	[12, 30, 30, 14, 15, 12, 29, 19, 6, 28]
400277217	4.7	[9, 6, 5, 14, 12, 17, 5, 30, 5, 23]
400277218	4.8	[20, 21, 9, 2, 23, 2, 2, 16, 4, 4]
400277219	5.0	[18, 7, 23, 20, 10, 30, 24, 15, 22, 27]
400277220	7.8	[27, 8, 4, 24, 11, 9, 1, 24, 5, 3]
400277221	9.3	[30, 2, 7, 2, 24, 1, 20, 22, 29, 29]
400277222	7.7	[2, 26, 9, 15, 5, 4, 15, 30, 8, 9]
400277223	11.2	[13, 18, 9, 17, 28, 28, 25, 21, 3, 22]
400277224	4.1	[10, 27, 13, 12, 0, 6, 27, 16, 18, 17]
400277225	8.2	[22, 0, 19, 6, 24, 15, 11, 12, 17, 8]
400277226	8.2	[22, 20, 0, 9, 26, 22, 10, 24, 6, 26]
400277227	6.5	[4, 1, 2, 8, 30, 16, 24, 30, 3, 13]
400277228	1.7	[5, 26, 1, 13, 28, 0, 20, 17, 17, 9]
400277229	8.4	[11, 21, 28, 19, 13, 6, 12, 10, 22, 18]
400277230	6.9	[2, 9, 23, 24, 8, 30, 25, 11, 7, 20]
400277231	5.5	[2, 4, 14, 17, 29, 28, 30, 15, 23, 18]
400277232	7.6	[7, 11, 9, 2, 13, 16, 0, 28, 9, 25]
400277233	10.3	[1, 20, 29, 27, 29, 20, 3, 14, 21, 23]
400277234	6.0	[29, 21, 15, 17, 0, 17, 10, 8, 21, 2]
400277235	4.8	[29, 1, 12, 1, 19, 11, 27, 2, 0, 18]
400277236	9.8	[4, 12, 1, 6, 7, 18, 20, 25, 10, 2]
400277237	3.3	[0, 19, 11, 26, 11, 4, 20, 12, 20, 8]
400277238	4.8	[0, 15, 11, 25, 10, 14, 30, 15, 19, 2]
400277239	7.5	[29, 30, 2, 1, 29, 17, 5, 26, 0, 1]
400277240	5.0	[29, 23, 29, 29, 29, 6, 23, 28, 21, 15]
400277241	8.2	[1, 24, 18, 21, 7, 15, 29, 17, 26, 13]
400277242	6.6	[2, 25, 16, 12, 17, 15, 23, 2, 0, 7]
400277243	11.0	[13, 18, 14, 12, 5, 20, 0, 3, 28, 10]
400277244	8.2	[25, 28, 10, 19, 3, 30, 0, 0, 8, 2]
400277245	6.1	[9, 4, 14, 21, 17, 16, 17, 10, 1, 5]
400277246	7.2	[25, 24, 12, 6, 22, 18, 7, 25, 23, 4]
400277247	6.6	[7, 13, 4, 20, 30, 23, 5, 28, 7, 0]
400277248	6.3	[30, 16, 1, 21, 29, 15, 0, 22, 9, 27]
400277249	1.9	[6, 6, 19, 17, 15, 7, 1, 23, 1, 14]
400277250	7.4	[6, 6, 8, 27, 6, 13, 1, 0, 6, 11]
400277251	5.4	[19, 15, 0, 4, 17, 3, 19, 9, 0, 26]
400277252	5.0	[17, 5, 1, 20, 13, 4, 17, 17, 3, 2]
400277253	5.5	[13, 19, 16, 15, 24, 22, 27, 22, 9, 14]
400277254	4.1	[19, 14, 0, 4, 24, 0, 26, 16, 14, 13]
400277255	6.1	[26, 7, 14, 5, 8, 30, 29, 8, 17, 16]
400277256	7.0	[30, 14, 22, 14, 16, 14, 17, 18, 16, 25]
400277257	7.9	[5, 30, 19, 16, 17, 3, 3, 1, 19, 0]
400277258	5.7	[11, 12, 0, 27, 14, 17, 1, 21, 29, 29]
400277259	7.4	[17, 2, 6, 20, 30, 3, 4, 26, 20, 22]
400277260	8.7	[26, 23, 24, 20, 15, 10, 9, 1, 5, 23]
400277261	9.6	[7, 24, 1, 4, 2, 3, 17, 21, 9, 9]
400277262	4.2	[4, 16, 26, 19, 22, 6, 27, 21, 1, 22]
400277263	10.9	[8, 23, 0, 11, 24, 17, 9, 26, 21, 4]
400277264	6.8	[18, 20, 22, 29, 8, 25, 24, 29, 3, 27]
400277265	5.7	[18, 13, 30, 21, 27, 5, 24, 12, 25, 14]
400277266	5.2	[28, 8, 23, 30, 16, 9, 19, 22, 30, 8]
400277267	10.7	[5, 5, 13, 27, 23, 24, 19, 28, 2, 28]
400277268	4.5	[25, 3, 5, 19, 29, 7, 5, 6, 4, 9]
400277269	7.9	[23, 19, 10, 6, 17, 4, 12, 28, 10, 9]
400277270	5.3	[15, 4, 13, 13, 1, 12, 22, 16, 19, 2]
400277271	8.8	[0, 0, 25, 4, 27, 17, 13, 10, 17, 25]
400277272	8.9	[28, 25, 11, 13, 21, 10, 11, 15, 27, 15]
400277273	8.3	[17, 13, 22, 9, 9, 22, 9, 30, 16, 13]
400277274	6.6	[20, 11, 25, 24, 22, 18, 7, 26, 21, 15]
400277275	6.9	[25, 15, 19, 18, 29, 6, 12, 24, 30, 28]
400277276	4.6	[26, 27, 24, 8, 7, 26, 22, 10, 12, 5]
400277277	5.2	[26, 25, 1, 1, 28, 12, 13, 25, 14, 6]
400277278	7.7	[26, 13, 2, 12, 8, 30, 17, 7, 23, 1]
400277279	8.6	[11, 23, 12, 26, 28, 0, 23, 3, 25, 4]
400277280	5.7	[2, 8, 0, 1, 1, 23, 24, 12, 12, 29]
400277281	6.1	[11, 10, 1, 4, 16, 6, 4, 6, 22, 28]
400277282	4.1	[27, 23, 19, 28, 4, 0, 20, 28, 24, 23]
400277283	6.6	[27, 17, 8, 12, 29, 14, 24, 6, 5, 30]
400277284	6.5	[10, 26, 14, 1, 7, 28, 16, 0, 0, 11]
400277285	8.9	[24, 20, 28, 30, 1, 24, 1, 17, 10, 9]
400277286	5.5	[24, 23, 11, 17, 17, 12, 9, 15, 9, 20]
400277287	8.6	[29, 26, 14, 8, 28, 2, 9, 11, 17, 15]
400277288	5.9	[2, 2, 20, 24, 24, 29, 1, 12, 14, 21]
400277289	8.4	[28, 12, 2, 9, 26, 17, 22, 29, 9, 17]
400277290	6.3	[14, 14, 1, 6, 11, 21, 15, 8, 1, 10]
400277291	9.7	[12, 28, 25, 30, 29, 26, 15, 7, 7, 5]
400277292	8.2	[7, 6, 3, 17, 28, 28, 3, 17, 0, 14]
400277293	10.0	[28, 5, 8, 11, 21, 25, 0, 11, 22, 14]
400277294	5.9	[6, 29, 23, 1, 9, 12, 30, 8, 23, 20]
400277295	5.9	[10, 3, 17, 22, 2, 5, 14, 10, 0, 3]
400277296	6.3	[5, 6, 22, 22, 11, 8, 5, 28, 25, 11]
400277297	5.6	[21, 16, 10, 19, 20, 6, 26, 13, 17, 17]
400277298	10.7	[9, 10, 9, 24, 1, 23, 27, 19, 24, 20]
400277299	8.6	[19, 6, 7, 5, 29, 25, 14, 15, 0, 12]
400277300	6.5	[19, 13, 5, 12, 1, 3, 8, 4, 8, 29]
400277301	8.5	[10, 9, 22, 20, 3, 8, 19, 15, 3, 10]
400277302	6.2	[25, 6, 7, 16, 22, 4, 15, 0, 3, 16]
400277303	6.6	[24, 16, 19, 7, 20, 30, 18, 10, 26, 7]
400277304	3.7	[22, 20, 15, 1, 19, 9, 1, 6, 25, 28]
400277305	6.0	[0, 23, 15, 19, 5, 3, 15, 19, 28, 28]
400277306	10.2	[24, 6, 12, 6, 12, 5, 4, 9, 14, 18]
400277307	7.8	[28, 11, 25, 0, 29, 12, 12, 7, 12, 22]
400277308	10.0	[12, 24, 16, 11, 17, 25, 28, 18, 28, 2]
400277309	9.1	[13, 2, 27, 20, 20, 26, 0, 10, 14, 9]
400277310	7.7	[26, 13, 1, 0, 19, 7, 5, 0, 11, 22]
400277311	9.7	[24, 14, 19, 22, 5, 22, 21, 28, 8, 7]
400277312	8.0	[19, 16, 27, 7, 22, 7, 22, 13, 29, 24]
400277313	7.7	[30, 2, 25, 20, 30, 1, 14, 10, 13, 16]
400277314	5.1	[23, 8, 24, 20, 4, 30, 7, 11, 15, 15]
400277315	10.8	[30, 21, 23, 29, 25, 0, 13, 19, 27, 11]
400277316	6.0	[29, 3, 22, 21, 16, 12, 21, 29, 7, 4]
400277317	4.8	[16, 21, 23, 21, 11, 0, 29, 23, 19, 26]
400277318	7.9	[15, 7, 4, 7, 26, 0, 11, 4, 4, 24]
400277319	4.4	[15, 21, 10, 29, 16, 6, 27, 1, 6, 23]
400277320	5.1	[1, 8, 30, 6, 11, 0, 12, 27, 15, 28]
400277321	3.1	[24, 26, 2, 4, 24, 19, 25, 4, 14, 12]
400277322	5.1	[27, 26, 6, 28, 22, 17, 19, 22, 21, 8]
400277323	10.0	[25, 30, 20, 0, 28, 25, 19, 21, 3, 29]
400277324	5.0	[20, 3, 1, 30, 16, 18, 11, 6, 29, 21]
400277325	8.6	[15, 16, 16, 14, 21, 3, 5, 29, 4, 15]
400277326	5.1	[24, 1, 27, 23, 0, 15, 8, 10, 11, 10]
400277327	5.5	[24, 18, 21, 28, 6, 27, 4, 3, 8, 23]
400277328	7.6	[2, 19, 20, 11, 29, 9, 26, 27, 5, 1]
400277329	8.7	[22, 20, 25, 15, 30, 18, 18, 23, 12, 18]
400277330	2.7	[9, 26, 27, 21, 9, 13, 22, 8, 29, 19]
400277331	5.6	[4, 19, 8, 23, 22, 22, 25, 15, 22, 11]
400277332	6.8	[17, 14, 22, 14, 12, 8, 24, 22, 7, 11]
400277333	8.1	[14, 14, 6, 14, 1, 18, 15, 24, 26, 29]
400277334	5.2	[1, 8, 24, 25, 3, 21, 5, 14, 24, 10]
400277335	4.7	[15, 5, 20, 19, 3, 3, 29, 3, 5, 22]
400277336	6.3	[5, 27, 8, 25, 19, 20, 30, 8, 25, 23]
400277337	5.4	[12, 19, 10, 15, 3, 21, 16, 26, 4, 17]
400277338	8.4	[14, 16, 17, 15, 4, 22, 19, 30, 27, 2]
400277339	6.7	[4, 26, 3, 19, 8, 17, 0, 8, 21, 5]
400277340	6.0	[4, 28, 26, 4, 21, 0, 7, 5, 28, 10]
400277341	8.7	[12, 27, 4, 29, 11, 3, 1, 23, 14, 9]
400277342	5.9	[15, 17, 27, 25, 3, 17, 17, 19, 25, 7]
400277343	5.7	[7, 8, 21, 20, 8, 9, 26, 25, 11, 26]
400277344	9.0	[0, 2, 10, 12, 10, 24, 20, 7, 27, 14]
400277345	4.5	[20, 13, 1, 6, 23, 27, 18, 16, 26, 2]
400277346	7.3	[11, 30, 27, 1, 8, 3, 18, 30, 14, 6]
400277347	3.1	[30, 21, 2, 26, 1, 5, 6, 16, 6, 19]
400277348	9.0	[19, 11, 26, 25, 18, 27, 6, 26, 14, 5]
400277349	10.6	[19, 24, 25, 3, 0, 18, 28, 7, 4, 2]
400277350	3.6	[4, 21, 19, 7, 17, 5, 8, 4, 29, 29]
400277351	3.5	[30, 20, 15, 25, 7, 24, 4, 27, 26, 30]
400277352	6.9	[0, 27, 27, 30, 9, 14, 4, 14, 5, 23]
400277353	4.0	[2, 16, 7, 5, 29, 19, 17, 8, 13, 13]
400277354	4.0	[19, 1, 4, 3, 8, 28, 26, 26, 19, 17]
400277355	9.3	[17, 6, 0, 25, 10, 18, 27, 9, 3, 25]
400277356	6.4	[28, 3, 5, 8, 7, 22, 29, 14, 13, 6]
400277357	7.9	[17, 2, 7, 5, 29, 13, 1, 17, 7, 14]
